CatalogKey,StockItemKey,PriceGroup,CurrencyCode,Price,Retail
ALL,840290913464,LP,USD,24.5,49.0
ALL,840290913471,LP,USD,24.5,49.0
ALL,840290913488,LP,USD,24.5,49.0
ALL,840290913495,LP,USD,24.5,49.0
ALL,840290913501,LP,USD,24.5,49.0
ALL,840290913518,LP,USD,24.5,49.0
ALL,840290913525,LP,USD,24.5,49.0
ALL,840290913532,LP,USD,24.5,49.0
ALL,840290913549,LP,USD,24.5,49.0
ALL,840290913556,LP,USD,24.5,49.0
ALL,840290913563,LP,USD,24.5,49.0
ALL,840290913570,LP,USD,24.5,49.0
ALL,840290913587,LP,USD,24.5,49.0
ALL,091037645821,LP,USD,5.99,11.99
ALL,840290903809,LP,USD,134.5,269.0
ALL,840290903816,LP,USD,134.5,269.0
ALL,840290903823,LP,USD,134.5,269.0
ALL,840290903830,LP,USD,134.5,269.0
ALL,840290903847,LP,USD,109.5,219.0
ALL,840290905414,LP,USD,134.5,269.0
ALL,840290903854,LP,USD,109.5,219.0
ALL,840290903861,LP,USD,109.5,219.0
ALL,840290905353,LP,USD,109.5,219.0
ALL,840290905360,LP,USD,109.5,219.0
ALL,840290905391,LP,USD,134.5,269.0
ALL,840290905377,LP,USD,134.5,269.0
ALL,840290905384,LP,USD,109.5,219.0
ALL,840290905438,LP,USD,134.5,269.0
ALL,840290905476,LP,USD,134.5,269.0
ALL,840290905445,LP,USD,109.5,219.0
ALL,840290905544,LP,USD,134.5,269.0
ALL,840290905551,LP,USD,109.5,219.0
ALL,840290905452,LP,USD,109.5,219.0
ALL,840290905483,LP,USD,109.5,219.0
ALL,840290905490,LP,USD,109.5,219.0
ALL,840290905520,LP,USD,134.5,269.0
ALL,840290905537,LP,USD,109.5,219.0
ALL,840290905506,LP,USD,134.5,269.0
ALL,840290905513,LP,USD,109.5,219.0
ALL,840290904394,LP,USD,134.5,269.0
ALL,840290904400,LP,USD,134.5,269.0
ALL,840290904431,LP,USD,134.5,269.0
ALL,840290904448,LP,USD,134.5,269.0
ALL,840290904417,LP,USD,109.5,219.0
ALL,840290905605,LP,USD,134.5,269.0
ALL,840290904493,LP,USD,109.5,219.0
ALL,840290904424,LP,USD,109.5,219.0
ALL,840290904462,LP,USD,109.5,219.0
