Region,CatalogKey,ItemNumber,ColorCode,TagName,TagValue
GLOBAL,ALL,CHE141123,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141606,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141626,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141704,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141724,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141N00,141,Product Type,Sunglasses
GLOBAL,ALL,CHE141N20,141,Product Type,Sunglasses
GLOBAL,ALL,CHE51N000,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N001,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N020,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N021,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N102,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N103,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N122,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N123,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N606,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N626,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N704,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51N724,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51NN00,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE51NN20,51N,Product Type,Sunglasses
GLOBAL,ALL,CHE54B000,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B001,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B020,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B021,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B102,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B103,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B122,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B123,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B606,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B626,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B704,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54B724,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54BN00,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE54BN20,54B,Product Type,Sunglasses
GLOBAL,ALL,CHE640000,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640001,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640020,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640021,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640102,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640103,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640122,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640123,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640606,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640626,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640704,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640724,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640N00,640,Product Type,Sunglasses
GLOBAL,ALL,CHE640N20,640,Product Type,Sunglasses
GLOBAL,ALL,CHE75O000,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O001,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O020,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O021,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O102,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O103,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O122,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O123,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O606,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O626,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O704,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75O724,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75ON00,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE75ON20,75O,Product Type,Sunglasses
GLOBAL,ALL,CHE77M000,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M001,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M020,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M021,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M102,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M103,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M122,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M123,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M606,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M626,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M704,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77M724,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77MN00,77M,Product Type,Sunglasses
GLOBAL,ALL,CHE77MN20,77M,Product Type,Sunglasses
GLOBAL,ALL,CLK40G020,40G,Product Type,Sunglasses
GLOBAL,ALL,CLK40G021,40G,Product Type,Sunglasses
GLOBAL,ALL,CLK40G122,40G,Product Type,Sunglasses
GLOBAL,ALL,CLK40G123,40G,Product Type,Sunglasses
GLOBAL,ALL,CLK40G626,40G,Product Type,Sunglasses
GLOBAL,ALL,CLK40G724,40G,Product Type,Sunglasses
GLOBAL,ALL,CLK40GN20,40G,Product Type,Sunglasses
GLOBAL,ALL,CLKA05020,A05,Product Type,Sunglasses
GLOBAL,ALL,CLKA05021,A05,Product Type,Sunglasses
GLOBAL,ALL,CLKA05122,A05,Product Type,Sunglasses
GLOBAL,ALL,CLKA05123,A05,Product Type,Sunglasses
GLOBAL,ALL,CLKA05626,A05,Product Type,Sunglasses
GLOBAL,ALL,CLKA05724,A05,Product Type,Sunglasses
GLOBAL,ALL,CLKA05N20,A05,Product Type,Sunglasses
GLOBAL,ALL,CLKG00020,G00,Product Type,Sunglasses
GLOBAL,ALL,CLKG00021,G00,Product Type,Sunglasses
GLOBAL,ALL,CLKG00122,G00,Product Type,Sunglasses
GLOBAL,ALL,CLKG00123,G00,Product Type,Sunglasses
GLOBAL,ALL,CLKG00626,G00,Product Type,Sunglasses
GLOBAL,ALL,CLKG00724,G00,Product Type,Sunglasses
GLOBAL,ALL,CLKG00N20,G00,Product Type,Sunglasses
GLOBAL,ALL,COC02N000,02N,Product Type,Sunglasses
GLOBAL,ALL,COC02N001,02N,Product Type,Sunglasses
GLOBAL,ALL,COC02N020,02N,Product Type,Sunglasses
GLOBAL,ALL,COC02N021,02N,Product Type,Sunglasses
GLOBAL,ALL,COC02N102,02N,Product Type,Sunglasses
GLOBAL,ALL,COC02N103,02N,Product Type,Sunglasses
GLOBAL,ALL,COC02N122,02N,Product Type,Sunglasses
GLOBAL,ALL,COC02N123,02N,Product Type,Sunglasses
GLOBAL,ALL,COC02N606,02N,Product Type,Sunglasses
